system:index,area_m2,.geo
"59034,-11128",73217.87287737844,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56910347264912,-28.948012728997515],[153.57170483971677,-28.948012728997515],[153.57170483971677,-28.94541136192985],[153.56910347264912,-28.94541136192985],[153.56910347264912,-28.948012728997515]]]}"
"59035,-11128",73217.87287866655,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57170483971677,-28.948012728997515],[153.57430620678446,-28.948012728997515],[153.57430620678446,-28.94541136192985],[153.57170483971677,-28.94541136192985],[153.57170483971677,-28.948012728997515]]]}"
"59036,-11128",73217.87287723244,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57430620678446,-28.948012728997515],[153.5769075738521,-28.948012728997515],[153.5769075738521,-28.94541136192985],[153.57430620678446,-28.94541136192985],[153.57430620678446,-28.948012728997515]]]}"
"59037,-11128",73217.87287871317,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5769075738521,-28.948012728997515],[153.5795089409198,-28.948012728997515],[153.5795089409198,-28.94541136192985],[153.5769075738521,-28.94541136192985],[153.5769075738521,-28.948012728997515]]]}"
"59038,-11128",73217.87287731566,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.948012728997515],[153.58211030798745,-28.948012728997515],[153.58211030798745,-28.94541136192985],[153.5795089409198,-28.94541136192985],[153.5795089409198,-28.948012728997515]]]}"
"59039,-11128",73217.87287799577,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.948012728997515],[153.5847116750551,-28.948012728997515],[153.5847116750551,-28.94541136192985],[153.58211030798745,-28.94541136192985],[153.58211030798745,-28.948012728997515]]]}"
"59040,-11128",73217.8728780857,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.948012728997515],[153.5873130421228,-28.948012728997515],[153.5873130421228,-28.94541136192985],[153.5847116750551,-28.94541136192985],[153.5847116750551,-28.948012728997515]]]}"
"59041,-11128",73217.87287804122,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.948012728997515],[153.58991440919044,-28.948012728997515],[153.58991440919044,-28.94541136192985],[153.5873130421228,-28.94541136192985],[153.5873130421228,-28.948012728997515]]]}"
"59042,-11128",73217.87287811105,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58991440919044,-28.948012728997515],[153.59251577625813,-28.948012728997515],[153.59251577625813,-28.94541136192985],[153.58991440919044,-28.94541136192985],[153.58991440919044,-28.948012728997515]]]}"
"59043,-11128",73217.87287799898,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59251577625813,-28.948012728997515],[153.59511714332578,-28.948012728997515],[153.59511714332578,-28.94541136192985],[153.59251577625813,-28.94541136192985],[153.59251577625813,-28.948012728997515]]]}"
